MARKS_OBTAINED,SGPA
285,8.24
285,6.34
294,7.78
295,9.82
296,7.78
305,6.02
305,7.44
309,8.38
310,8.68
310,8.44
311,8.74
311,8.82
311,8.26
311,7.61
311,7.61
312,8.68
314,8.08
314,6.33
318,8.68
321,9.28
321,8.83
321,7.22
325,8.22
326,8.17
327,8.33
327,5.83
328,8.46
328,6.18
329,5.09
330,7.32
330,4.94
331,8
332,7.48
332,4.67
333,9
333,4.83
333,8.06
335,8.61
337,5.14
337,8.56
338,7.65
338,8.56
339,7.42
339,7.06
339,4.56
339,5.56
339,5.89
340,8.46
340,8.28
341,8.6
341,8.6
341,7.89
341,5.78
342,8.02
342,7.98
342,8
342,5.06
343,8.12
343,8.74
345,9.06
345,8.33
345,8.64
345,7.22
346,6.7
346,7.61
346,8.4
346,8.94
347,7.16
347,7.06
347,8.33
348,6.17
348,7.78
349,6.42
349,8.72
349,4.56
351,8.39
352,8.28
352,7.94
352,7.06
352,4.6
353,8.34
353,6
353,8.22
353,8.22
354,7.5
354,7.78
354,5.67
355,4
355,7.28
355,4.72
356,6.88
356,5.06
356,5.13
356,5.84
357,8.06
358,8.12
359,6.61
359,7.06
359,5.94
360,7.88
360,7.82
360,8.44
361,4.83
361,7.72
361,8.56
362,8.82
362,5.54
362,3.83
362,5.06
362,6.56
362,5.25
362,8.17
362,8.61
362,8.83
363,8.9
363,8.6
363,7.86
363,6.2
363,6.68
363,7.12
363,7.7
363,8
363,3.62
364,8.56
364,7.17
364,5.72
364,7.56
365,6.62
365,8.78
365,5.84
365,5.48
365,5.04
365,9.22
365,4.61
365,8
365,7.28
366,6.72
367,8.84
367,8.3
367,7.64
368,8.3
368,6.56
368,7.11
368,7.1
369,8.3
369,8.22
369,8.33
370,8.5
370,7.33
370,8.17
370,8.61
371,7.4
371,8.36
371,6.58
371,5.13
371,8.06
371,8.33
371,7.67
371,4.33
371,5.06
371,8.17
371,6.17
372,9.28
372,8.22
372,8.74
372,5.64
372,8.94
372,8.83
373,8.54
373,8.04
373,7.48
373,6.83
373,6.78
373,4.72
373,8
373,6.61
373,5.5
374,6.34
374,9.08
374,8.54
374,6.72
374,8.61
375,7.33
375,9.22
375,7
375,8.11
375,7.61
376,6.22
376,6.88
376,6.58
376,6.56
376,8.39
376,8
376,7.26
376,7.17
376,7.88
377,7.46
377,7.26
377,6.68
377,8.5
377,4.5
377,7.61
378,6.1
378,8
378,8.54
378,8.39
378,7.67
379,7.46
379,8.4
379,8.46
379,6.94
379,7.9
379,5.48
379,8.04
379,7.5
379,8.5
379,8.33
380,8.7
380,8.5
380,8.3
380,5.4
380,7.11
381,8.86
381,8.61
382,4.84
382,7.78
382,6.67
382,9.11
382,8.72
383,7.38
383,8.56
383,7.39
383,8.39
383,7.5
383,7.61
384,8.36
384,0.64
384,7.72
384,6.44
384,6.72
384,7.94
384,6.67
385,9.02
385,7.28
385,8.44
385,8.17
385,7.28
386,7.34
386,7.48
386,7.5
386,7
387,6.89
388,8.44
389,8.44
390,8.4
390,8.24
390,7.92
390,7.64
390,8.78
390,8.68
390,8.32
390,7.56
390,7.82
390,8.06
390,7.92
390,8.5
390,6.02
390,7.66
390,8.22
390,8.5
390,4.17
390,6.44
390,8.22
390,7.28
390,4.89
391,8.1
391,8.12
391,8.58
391,6.6
391,7.83
391,6.74
391,8.39
391,3.78
392,8.5
392,7.06
392,6.14
392,8.94
392,6.67
392,6.14
392,8.34
392,8
392,6.83
392,8.11
392,7.83
392,8.33
393,9.46
393,9.06
393,7.96
393,8.42
393,6.2
393,8.44
393,7.67
393,7.72
