MARKS_OBTAINED,SGPA
392,8.5
467,7.96
394,8.76
393,9.46
341,8.6
332,7.48
373,8.54
438,9.24
432,8.5
340,8.46
418,7.58
508,8.3
548,9.22
338,7.65
463,8.68
343,8.12
445,8.78
351,8.39
425,9.66
342,8.02
399,8.22
424,9.02
432,8.16
394,8.02
446,9.04
408,7.57
434,8.83
406,7.84
549,7.28
436,8.32
311,8.74
395,8.62
345,9.06
422,8.88
311,8.82
311,8.26
487,8.11
414,9.22
535,9.42
483,9.14
413,9.22
543,8.98
439,9.38
493,9
397,7.98
392,7.06
425,8.9
452,9.08
454,8.98
442,8.56
467,8.46
368,8.3
387,6.89
363,8.9
436,6.89
434,9.44
464,7.92
416,8.44
372,9.28
434,9.42
352,8.28
434,6.14
407,8.98
414,7.84
437,8.48
333,9
362,8.82
391,8.1
419,8.68
394,8.02
8,8.26
443,8.18
455,8.32
426,8.06
471,9.18
481,8.56
428,8.42
400,8.62
394,8.14
450,8.8
413,8.58
343,8.74
390,8.4
392,6.14
431,8.68
399,8.76
438,8.08
396,8.3
373,8.04
423,8.42
371,7.4
482,8.92
395,8.02
408,7.62
310,8.68
885,8.14
401,7.32
467,8.52
416,7.78
390,8.24
404,6.64
408,6.54
642,7.3
424,7.54
328,8.46
309,8.38
420,8.36
305,6.02
372,8.22
409,9.12
369,8.3
379,7.46
449,8.12
407,8.12
380,8.7
497,8.68
393,9.06
383,7.38
392,8.94
449,8.83
435,8.12
376,6.22
256,6.72
420,8.26
448,9.18
374,6.34
285,8.24
381,8.86
467,9.02
449,8.74
376,6.88
475,9.18
442,7
318,8.68
498,8.7
584,6.6
390,7.92
464,9
511,6.72
374,9.08
314,8.08
399,8.9
443,6.94
469,8.84
451,8.54
390,7.64
341,8.6
371,8.36
630,6.32
412,8.04
552,9.58
440,8.76
390,8.78
407,8.8
412,8.42
439,8.2
329,5.09
449,9.16
496,8.76
486,9.26
450,8.48
367,8.84
412,9.44
430,8.7
474,9.1
874,8.08
390,8.68
295,9.82
460,9.26
384,8.36
363,8.6
402,5.58
522,9.26
408,9.02
487,8.88
372,8.74
374,8.54
489,8.68
386,7.34
412,9.28
481,6.46
390,8.32
493,7.16
472,8.1
540,9.18
376,6.58
390,7.56
391,8.12
451,4.84
378,6.1
353,8.34
413,8.02
363,7.86
342,7.98
393,7.96
442,8.74
466,8.78
463,9.24
347,7.16
405,7.96
448,8.3
430,8.17
356,6.88
475,9.12
365,6.62
402,7.58
376,6.56
403,7.06
382,4.84
422,8.94
416,7.52
439,8.5
356,5.06
506,9.04
418,8.22
476,8.56
424,8.2
410,8.64
448,8.82
368,6.56
465,8.9
353,6
466,8.24
373,7.48
377,7.46
414,7.78
526,8.78
385,9.02
321,9.28
390,7.82
358,8.12
349,6.42
379,8.4
506,8.96
407,5.17
406,9.24
383,8.56
379,8.46
422,8.76
362,5.54
395,6.64
384,0.64
391,8.58
422,8.36
411,8.12
422,9.16
452,8.6
363,6.2
631,7.46
463,8.98
495,8.56
285,6.34
455,8.9
380,8.5
402,8.62
442,8.96
471,8
382,7.78
404,6.82
407,7.39
442,7.88
458,7.98
459,8.33
419,8.61
384,7.72
390,8.06
407,8.22
376,8.39
432,9.61
431,8.17
379,6.94
390,7.92
403,9.33
452,5.24
464,7.22
392,6.67
448,8.62
498,7.12
424,8.26
460,9.24
404,7.78
379,7.9
371,6.58
434,7.94
410,7.16
441,8.28
470,8.52
408,4.17
438,8.72
357,8.06
439,9.61
339,7.42
376,8
415,8
353,8.22
377,7.26
465,8.94
392,6.14
494,8.7
375,7.33
425,7.58
430,8.39
453,8.22
365,8.78
490,7.9
394,6.66
392,8.34
408,8.28
445,8.61
360,7.88
407,8.84
440,7.84
345,8.33
476,8.82
462,5.24
417,7.78
376,7.26
458,9.17
385,7.28
451,8.28
451,5.94
422,7.89
346,6.7
443,5.75
481,8.4
484,9.1
452,8.83
514,9.56
494,8.7
339,7.06
393,8.42
459,8.22
458,9
400,8.02
363,6.68
337,5.14
437,8.72
371,5.13
371,8.06
376,7.17
454,8.11
404,5.08
365,5.84
378,8
356,5.13
472,8.32
437,8.42
527,9.06
328,6.18
393,6.2
445,7.89
407,7.82
414,6.7
801,8.54
410,8.67
380,8.3
372,5.64
338,8.56
330,7.32
434,7.82
413,4.13
439,7.18
425,8.11
404,8.22
401,7.58
367,8.3
394,8.44
470,8.33
339,4.56
437,7.86
377,6.68
423,8.54
356,5.84
504,6.98
447,8.76
517,8.6
472,8.83
468,9.34
369,8.22
401,7.98
386,7.48
445,8.1
476,8.82
563,9.1
463,7.5
345,8.64
437,8.84
391,6.6
442,9.24
499,8.46
380,5.4
421,8.11
460,8.94
479,8.12
390,8.5
442,9
425,7.44
409,8.33
384,6.44
429,7.48
444,8.08
410,7.86
418,7.82
376,7.88
390,6.02
365,5.48
441,8.74
503,9.28
489,9.12
379,5.48
428,8.06
414,8.7
429,5.17
362,3.83
507,8.38
361,4.83
535,8.62
448,8.38
459,8.54
364,8.56
478,8.22
363,7.12
428,6.56
476,7.04
363,7.7
390,7.66
420,7.96
398,6.8
406,8.52
342,8
491,8.72
502,8.83
367,7.64
504,9.06
426,8.78
959,9.12
438,8.96
426,8.78
401,8
412,8.39
546,9.33
470,7.94
378,8.54
366,6.72
426,5.48
415,8.46
379,8.04
426,8.56
365,5.04
513,8.89
410,7.38
460,8.56
408,7.94
403,7.44
429,7.26
440,8.22
360,7.82
576,9.44
362,5.06
498,6.24
440,8
544,8.02
417,7.42
407,8.34
390,8.22
355,4
398,9.28
359,6.61
414,6.44
408,9.83
420,8.44
517,7.67
460,8.5
352,7.94
359,7.06
327,8.33
392,8
355,7.28
370,8.5
485,9.67
375,9.22
333,4.83
429,7.89
396,7.06
393,8.44
406,8.06
406,7.11
428,8.72
388,8.44
522,9.39
463,9.11
392,6.83
539,8.94
417,6.89
371,8.33
394,8.39
468,9.44
421,8.61
442,8.94
549,9.44
393,7.67
430,7
475,8.94
454,8.56
396,9.22
486,9.17
419,8.17
407,8.94
476,8.17
